time,open,high,low,close,volume,symbol
2020-01-06,6.91,6.91,6.91,6.91,33200,PVG
2020-01-07,6.91,6.91,6.82,6.91,7401,PVG
2020-01-08,6.74,6.82,6.65,6.82,27200,PVG
2020-01-09,6.65,6.74,6.39,6.39,23900,PVG
2020-01-10,6.48,6.48,6.39,6.39,44500,PVG
2020-01-13,6.82,6.82,6.74,6.74,3500,PVG
2020-01-14,6.74,6.74,6.74,6.74,6100,PVG
2020-01-15,6.74,6.74,6.57,6.74,6100,PVG
2020-01-16,6.74,6.82,6.74,6.82,10320,PVG
2020-01-17,6.82,6.82,6.65,6.82,7600,PVG
2020-01-20,6.82,6.82,6.74,6.74,9200,PVG
2020-01-21,6.74,6.91,6.74,6.91,23300,PVG
2020-01-22,7,7.34,7,7.34,39200,PVG
2020-01-30,7.26,7.26,6.74,6.82,13700,PVG
2020-01-31,6.91,6.91,6.82,6.82,9500,PVG
2020-02-03,6.82,6.82,6.39,6.39,10900,PVG
2020-02-04,6.31,6.82,6.31,6.74,23100,PVG
2020-02-05,6.57,6.74,6.39,6.65,112300,PVG
2020-02-06,6.48,6.65,6.48,6.65,12000,PVG
2020-02-07,6.74,6.74,6.65,6.74,11000,PVG
2020-02-10,6.39,6.48,6.31,6.39,11200,PVG
2020-02-11,6.57,6.82,6.48,6.74,1300,PVG
2020-02-12,6.74,6.82,6.74,6.82,800,PVG
2020-02-13,6.82,6.82,6.82,6.82,4100,PVG
2020-02-14,6.82,6.91,6.82,6.91,3300,PVG
2020-02-17,6.91,6.91,6.91,6.91,10,PVG
2020-02-18,6.91,7.08,6.91,7,5400,PVG
2020-02-19,7,7,7,7,101,PVG
2020-02-20,7,7.43,7,7.08,21000,PVG
2020-02-21,7.08,7.08,7.08,7.08,0,PVG
2020-02-24,6.65,6.65,6.57,6.57,15600,PVG
2020-02-25,6.57,6.57,6.57,6.57,0,PVG
2020-02-26,6.57,6.57,6.48,6.57,86100,PVG
2020-02-27,6.48,6.82,6.48,6.82,11200,PVG
2020-02-28,6.74,6.74,6.74,6.74,200,PVG
2020-03-02,6.48,6.48,6.48,6.48,10300,PVG
2020-03-03,6.74,6.74,6.48,6.65,7700,PVG
2020-03-04,6.48,6.57,6.48,6.48,19900,PVG
2020-03-05,6.48,6.48,6.48,6.48,5400,PVG
2020-03-06,6.48,6.57,6.48,6.57,14500,PVG
2020-03-09,6.57,6.57,6.57,6.57,0,PVG
2020-03-10,5.96,6.48,5.96,6.48,7100,PVG
2020-03-11,6.05,6.05,5.96,6.05,6400,PVG
2020-03-12,5.44,6.05,5.44,5.96,48801,PVG
2020-03-13,5.53,5.96,5.44,5.96,19300,PVG
2020-03-16,5.62,5.79,5.44,5.62,1700,PVG
2020-03-17,5.62,5.7,5.44,5.7,61600,PVG
2020-03-18,5.53,5.7,5.53,5.62,20900,PVG
2020-03-19,5.36,5.62,5.36,5.53,8500,PVG
2020-03-20,5.62,5.7,5.53,5.53,8000,PVG
2020-03-23,5.44,5.62,5.44,5.62,74500,PVG
2020-03-24,5.62,5.62,5.44,5.53,8809,PVG
2020-03-25,5.62,5.7,5.62,5.7,14020,PVG
2020-03-26,5.62,5.7,5.53,5.7,16000,PVG
2020-03-27,5.53,5.7,5.44,5.53,10200,PVG
2020-03-30,5.18,5.18,5.01,5.18,20600,PVG
2020-03-31,5.27,5.27,5.18,5.18,19350,PVG
2020-04-01,5.27,5.36,5.18,5.18,1700,PVG
2020-04-03,5.27,5.62,5.27,5.62,15600,PVG
2020-04-06,5.44,5.79,5.44,5.79,1310,PVG
2020-04-07,5.44,5.79,5.44,5.53,1800,PVG
2020-04-08,5.44,5.7,5.44,5.53,4700,PVG
2020-04-09,5.7,6.05,5.44,5.96,12720,PVG
2020-04-10,5.88,5.96,5.79,5.79,4500,PVG
2020-04-13,5.79,6.05,5.79,6.05,34300,PVG
2020-04-14,6.05,6.05,5.96,6.05,11680,PVG
2020-04-15,6.05,6.05,5.88,5.88,5120,PVG
2020-04-16,5.96,5.96,5.88,5.88,5400,PVG
2020-04-17,5.96,6.05,5.88,6.05,132600,PVG
2020-04-20,5.96,6.05,5.96,5.96,93800,PVG
2020-04-21,5.88,5.96,5.88,5.96,17300,PVG
2020-04-22,5.79,5.96,5.79,5.96,43700,PVG
2020-04-23,5.88,6.05,5.88,5.96,20200,PVG
2020-04-24,5.96,5.96,5.96,5.96,8100,PVG
2020-04-27,6.48,6.48,5.96,6.05,55320,PVG
2020-04-28,5.96,6.05,5.88,6.05,6100,PVG
2020-04-29,5.96,6.05,5.88,6.05,6500,PVG
2020-05-04,5.96,6.05,5.88,6.05,19500,PVG
2020-05-05,5.96,6.05,5.88,5.88,26600,PVG
2020-05-06,5.96,6.05,5.96,6.05,6300,PVG
